Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoLandUse,TBox,http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoLandUse,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoLandUse,TBox,OntoLandUse is an ontology developed for representing different types of land use code used for rural payment services.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoLandUse,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Land Use Code,Class,,,,,,"Code used by land owners to declare what their land is used for, when applying for a rural payment scheme (like the Basic Payment Scheme (BPS) and Countryside Stewardship (CS))",http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,
Land Cover,Class,,,,,,The physical material at the surface of the Earth,http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,
Land Use Code Type,Class,,,,,,"Specifies the category to which the code applies to, out of the following: agriculatural land; non-agricultural land; codes for the Countryside Stewardship (CS); or if the code is ineligible for the Rural Payments Service (RPS)",http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,
Agricultural Land,Class,Land Use Code Type,IS-A,,,,"Agricultural land is typically land devoted to agriculture, the systematic and controlled use of other forms of life - particularly the rearing of livestock and production of crops - to produce food for humans.",http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,
Non-Agricultural Land,Class,Land Use Code Type,IS-A,,,,Land upon which no agricultural activities are conducted and from which no agricultural products are derived,http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,
Administrative Division,Class,,,,,,An administrative division is a portion of a country or other region delineated for the purpose of administration. Administrative divisions are granted a certain degree of autonomy and are usually required to manage themselves through their own local governments,http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,
isConnectedTo,Object Property,,,Land Use Code,Land Cover,exactly 1,Relates the Land Use Code to the physical material present on the surface of that land area,http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,
hasLandUseType,Object Property,,,Land Use Code,Land Use Code Type,exactly 1,"Relates the Land Use Code to the Land Use Code Type, which is used to categorise the Land Use Code",http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,
usedIn,Object Property,,,Land Use Code UNION Land Use Code Type,Administrative Division,only,Associates the Land Use Code and its Land Use Code Type to the particular region in which it is used,http://www.theworldavatar.com/ontology/ontolanduse/OntoLandUse.owl,
