Source,Type,Target,Relation,Domain,Range,Source definition,Definition language
OntoModel,TBox,http://www.theworldavatar.com/ontology/ontomodel/OntoModel.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,
OntoModel,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,
OntoModel,TBox,OntoChemExp is an ontology developed for representing various models.,http://www.w3.org/2000/01/rdf-schema#comment,,,,
OntoModel,TBox,,http://www.w3.org/2002/07/owl#imports,,,,
Model,Class,,,,,This class defines a generic model.,
ExecutableModel,Class,Model,Is-A,,,This class defines an executable model.,
Parameter,Class,,,,,This class defines a parameter.,
FileParam,Class,Parameter,Is-A,,,This class defines a parameter that is located in a file.,
XMLFileParam,Class,FileParam,Is-A,,,This class defines a parameter that is located in an XML file.,
DSVFileParam,Class,FileParam,Is-A,,,This class defines a parameter that is located in a DSV file.,
File,Class,,,,,This class defines a file.,
XMLFile,Class,File,Is-A,,,This class defines an XML file.,
DSVFile,Class,File,Is-A,,,This class defines a Delimiter-Separated Value (DSV) file.,
DSVLocation,Class,,,,,This class defines a location inside a DSV file.,
DSVLocColNameRowIdx,Class,DSVLocation,Is-A,,,This class defines a location inside a DSV file by column name and row index.,
DSVLocColNameAtRowVal,Class,DSVLocation,Is-A,,,This class defines a location inside a DSV file by column name and where another column takes a given value.,
hasInputParameter,Object Property,,,Model,Parameter,This object property associates an input parameter to a model.,
hasOutputParameter,Object Property,,,Model,Parameter,This object property associates an output parameter to a model.,
hasInputFileParam,Object Property,,,ExecutableModel,FileParam,This object property associates an input parameter in a file to an executable model.,
hasOutputFileParam,Object Property,,,ExecutableModel,FileParam,This object property associates an output parameter in a file to an executable model.,
hasXMLFile,Object Property,,,XMLFileParam,XMLFile,This object property associates an XML file to a parameter.,
hasDSVFile,Object Property,,,DSVFileParam,DSVFile,This object property associates a DSV file to a parameter.,
hasDSVLocation,Object Property,,,DSVFileParam,DSVLocation,This object property specifies the location of a parameter in a DSV file.,
hasModelName,Data Property,,,Model,String,This data property labels a model.,
hasExeFileName,Data Property,,,ExecutableModel,String,This data property specifies the name of an executable.,
hasSLURMScript,Data Property,,,ExecutableModel,String,This data property specifies the name of a SLURM script to submit an executable.,
isInArchive,Data Property,,,ExecutableModel,String,This data property specifies the name of an archive which contains an executable.,
hasParameterName,Data Property,,,Parameter,String,This data property labels a parameter.,
hasParameterType,Data Property,,,Parameter,Type,This data property specifies the data type of a parameter.,
hasFileName,Data Property,,,File,String,This data property labels a file.,
hasFilePath,Data Property,,,File,String,This data property specifies the path of a file.,
hasDelimiter,Data Property,,,DSVFile,String,This data property specifies the delimiter of a DSV file.,
hasXPath,Data Property,,,XMLFileParam,String,This data property specifies the XPath of a parameter in an XML file.,
hasColName,Data Property,,,DSVLocColNameRowIdx UNION DSVLocColNameAtRowVal,String,This data property specifies the name of a column in a DSV file.,
hasRowIdx,Data Property,,,DSVLocColNameRowIdx,Int,This data property specifies the index of a row in a DSV file.,
hasAtColName,Data Property,,,DSVLocColNameAtRowVal,String,This data property specifies the name of a column used for row location in a DSV file.,
hasAtColValue,Data Property,,,DSVLocColNameAtRowVal,Float,This data property specifies the value used for row location in a DSV file.,
