xval,yval,zval
114.0088889,22.46666667,4
114.3033333,22.18222222,56
114.1566667,22.52861111,15
114.21,22.4025,6
114.0433333,22.29111111,34
113.9836111,22.46888889,31
114.0266667,22.20111111,72
113.9219444,22.30944444,6
103.679,1.256,22
103.7768,1.3337,69
103.9625,1.3135,9
103.8878,1.3399,36
103.68166,1.34583,84
103.9673,1.4168,27
103.8249,1.41731,26
103.8279,1.25,37
103.61843,1.29377,6
103.9826,1.3678,15
103.754,1.281,26
103.78538,1.44387,27
103.74855,1.4172,10
103.8703,1.2799,15
4.43,52.17,0
13.4057,52.5198,36
103.786231,1.280979,10
-4.155,50.37,3
-4.1,50.45,3
