year,PC_avoid_cost_no,PC_avoid_cost_low,PC_avoid_cost_middle,PC_avoid_cost_high,NGCC_avoid_cost_no,NGCC_avoid_cost_low,NGCC_avoid_cost_middle,NGCC_avoid_cost_high
2016,37.899495,26.58713751,26.25931299,25.93148848,39.4445682,26.10826465,25.7741145,25.43996436
2017,39.43708864,26.81343308,26.15778405,25.50213502,54.98548489,29.02573142,28.35743113,27.68913084
2018,40.401001,26.46604738,25.48257384,24.49910029,57.65234563,30.35599158,29.35354114,28.35109071
2019,40.65840736,25.41215568,24.10085762,22.78955956,58.36451299,29.73155836,28.39495778,27.0583572
2020,40.95111077,24.39356103,22.75443846,21.11531588,59.17433686,29.20478165,27.53403093,25.8632802
2021,41.06001204,23.19116424,21.22421715,19.25727006,59.47563449,28.1694787,26.16457784,24.15967697
2022,41.52678336,22.34663749,20.05186589,17.75709428,60.76705283,28.12429646,25.78524545,23.44619443
2023,41.99098913,21.49954521,18.87694908,16.25435296,62.05137307,28.07201612,25.39881496,22.7256138
2024,42.28057129,20.4778293,17.52740867,14.57698803,62.85256135,27.53660382,24.52925252,21.52190121
2025,42.04346698,18.92942694,15.65118178,12.37293663,62.19656378,25.54400567,22.20250423,18.86100278
2026,42.41629498,19.17112325,15.86009518,12.54906711,63.2280687,26.04087037,22.56570886,19.09054736
2027,42.57259858,19.19629517,15.85248418,12.50867319,63.6605146,25.93867603,22.32985447,18.72103291
2028,42.79133657,19.28390148,15.90730756,12.53071365,64.26569798,26.00921918,22.26673756,18.52425594
2029,42.9499186,19.31135182,15.90197499,12.49259816,64.70444761,25.91332857,22.03718689,18.16104521
2030,43.11259438,19.34289593,15.90073617,12.45857642,65.15452344,25.82876417,21.81896244,17.8091607
2031,43.21403056,19.31320043,15.83825775,12.36331508,65.4351674,25.5747679,21.43130611,17.28784431
2032,43.55118177,19.51921996,16.01149436,12.50376877,66.36796519,25.97292546,21.69580361,17.41868175
2033,43.92857588,19.76548238,16.22497387,12.68446535,67.41210319,26.48242323,22.07164132,17.66085941
2034,44.30926722,20.01504204,16.4417506,12.86845917,68.46536366,27.00104347,22.4566015,17.91215953
2035,44.61888284,20.19352598,16.58745162,12.98137727,69.32197861,27.32301819,22.64491616,17.96681413
2036,44.73290593,19.78302916,16.04582483,12.3086205,69.63744681,27.37116628,22.62623422,17.88130217
2037,44.90237994,19.82137319,16.05138637,12.28139954,70.10633133,27.57273067,22.76096859,17.9492065
2038,44.92190399,19.70976727,15.90699795,12.10422863,70.16034863,27.35942786,22.48083574,17.60224363
2039,44.95437617,19.61110947,15.77555766,11.94000584,70.25018954,27.18194866,22.23652651,17.29110437
2040,45.09748158,19.62308491,15.7547506,11.88641629,70.64611995,27.31055895,22.29830678,17.28605461
2041,45.2976217,19.69209505,15.79097825,11.88986144,71.19984852,27.59696741,22.5178852,17.438803
2042,45.53397579,19.79731917,15.86341987,11.92952057,71.85377047,27.98356924,22.83765701,17.69174478
2043,45.74824955,19.88046294,15.91378115,11.94709936,72.44660265,28.3090813,23.09633904,17.88359678
2044,45.92730034,19.92838377,15.92891948,11.92945519,72.94198331,28.53714185,23.25756956,17.97799727
2045,46.11509436,20.37843774,16.44453844,12.51063914,73.46155389,28.78939231,23.44298999,18.09658767
2046,46.41320672,20.67655009,16.7426508,12.8087515,74.2863427,29.34686101,23.93362866,18.52039632
2047,46.18609599,20.44943936,16.51554007,12.58164077,73.65799441,28.4511926,22.97113022,17.49106785
2048,46.00886052,20.2722039,16.3383046,12.4044053,73.16763623,27.6935143,22.14662189,16.59972949
2049,46.02806041,20.29140379,16.35750449,12.42360519,73.22075665,27.47931461,21.86559218,16.25186975
2050,46.19460766,20.45795104,16.52405174,12.59015244,73.6815437,27.67278154,21.99222907,16.31167661
