ift_ioa,colour
Coppice with standards,#83c2d3
Felled,#e5e5e5
Ground prep,#d3b783
Low density,#ced4ea
Mixed mainly broadleaved,#caddab
Mixed mainly conifer,#99c59c
Shrub,#f0e9bf
Young trees,#f0feba
Failed,#fabdbd
Windblow,#a2a8c3
Uncertain,#f28383
Agriculture land,#fed59a
Bare area,#ddcb9e
Grassland,#cadea5
Powerline,#fe9e9e
Quarry,#a5b2c7
River,#afebeb
Road,#d6d6d6
Urban,#f5f5f5
Other vegetation,#9efe9e
Open water,#d2dde7
Windfarm,#d7afc4
Assumed woodland,#e0c3b4
Broadleaved,#dbeccf
Cloud \ shadow,#b3b3b3
Conifer,#83baa6
Coppice,#95f091
